"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4372","[Cenário 4] Acessar carrinho de compras","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
"","5775","[Cenário 2] Filtrar por categoria ""Price (high to low)""","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
"","5480","[Cenário 4] Acessar carrinho de compras","webkit","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
"","5843","[Cenário 1] Filtrar por categoria ""Price (low to high)""","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
"","4340","[Cenário 1] Login com credenciais válidas","webkit","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de sucesso","specs\login.spec.ts","",""
"","5481","[Cenário 2] Filtrar por categoria ""Price (high to low)""","chrome","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
"","9068","[Cenário 1] Finalizar compra com sucesso","chrome","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Finalizar compra","specs\compra.spec.ts","",""
"","3846","[Cenário 1] Login com senha inválida","chrome","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de erro","specs\login.spec.ts","",""
"","3848","[Cenário 1] Login com credenciais válidas","chrome","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de sucesso","specs\login.spec.ts","",""
"","722","[Cenário 3] Login com campos vazios","chrome","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de erro","specs\login.spec.ts","",""
"","1147","[Cenário 3] Login com campos vazios","firefox","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de erro","specs\login.spec.ts","",""
"","5977","[Cenário 4] Filtrar por categoria ""Name (A to Z)""","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
"","10553","[Cenário 1] Finalizar compra com sucesso","webkit","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Finalizar compra","specs\compra.spec.ts","",""
"","5748","[Cenário 3] Remover produto do carrinho","webkit","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
"","4251","[Cenário 2] Visualizar detalhes do produto","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
"","6118","[Cenário 2] Filtrar por categoria ""Price (high to low)""","webkit","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
"","4519","[Cenário 3] Remover produto do carrinho","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
